1. **茅家埠**：免费。西湖的后花园，环境幽静，自然野趣十足。
2. **郭庄**：门票10元。西湖四大名园之一，风景风雅，适合喝茶赏景。
3. **赵公堤**：免费。宋代建筑，环境清幽，绿意盎然。
4. **云松书舍**：免费。金庸先生的私宅，江南园林风格，古朴温润。
5. **植物园**：门票10元。杭州最值得逛的景点之一，四季各有不同之美。
6. **韩美林艺术馆**：免费，包含在植物园门票内。大型佛头雕塑，很有宿命感。
7. **玉泉景点**：免费，包含在植物园门票内。亭台楼阁水榭，观赏锦鲤。
8. **青芝坞**：免费。浙大旁的老杭州社区，美食众多，环境舒适。

**注意事项**：
- 我使用的是圆周旅迹APP进行行程规划，它能够精准显示景点间的距离，并推荐合适的交通方式和所需时间，还能直接唤起导航功能，避免迷路。
- 可以导入网红攻略，生成和优化路线，非常适合懒人使用。

**相关话题**：
- #国庆划得来逛吃指南
- #本地人才知道的小众景点
- #秋日浓度播报
- #杭州拍照
- #杭州旅行
- #西湖美景
- #西湖
- #杭州citywalk
- #杭州旅游
- #J人旅行指南
- #圆周旅迹
- #1分钟搞定旅行规划"
"来杭州一定要逛这7条街，逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。

✅ 湖滨步行街：
✨关键词：杭州最繁华，紧挨着西湖，逛街超方便
❗游玩小 Tips：别开车来，堵，停车费也很高
📍地址：上城区凤起路539-4号

✅ 三墩老街
✨关键词：很有杭州老底子味道的老街，很多美食店铺
🍽️推荐：李馆长深夜食堂干煸小龙虾
📍金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻

✅ 河坊街：
✨关键词：口碑争议。免费试吃
❗游玩小 Tips：人多，注意防晒
📍地址：上城区河坊街180号

✅ 武林女人街：
关键词：晚上最热闹。潮流年轻人都爱来这儿，喜欢逛夜市的别错过
❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦
📍地址：拱墅区武林路299号

✅ 南宋御街：
✨关键词：杭城最宋代。南宋的皇城根儿在这儿，还有数不尽的网红打卡
📍地址：上城区中山中路192号

✅ 小河直街：
✨关键词：古风最好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人
❗游玩小 Tips：别带上猪队友，不然会被气哭哦
📍地址：拱墅区小河直街51

✅ 武林美食街：
✨时间：17:00-22:00
美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。
夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝）
📍地铁：2号线凤起路站 E 口步行320米

#国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#"
"不知不觉，在抖音做自媒体也有三年啦！我和朋友真的去了馒头山不下20次，每次都能发现新的惊喜。终于整理好了，分享给大家～快找个时间去citywalk呀！！ 

#vlog #杭州citywalk #杭州拍照 #博主推荐 #情侣约会 #vlog我的一天 #馒头山 #来拍照了"
"中山中路真是个宝藏街区！它始于南宋御街，靠近河坊街，但没有那么商业化。头顶是茂密的大树，夏天行走也不会太热。一路向北走，可以看到许多欧式风格的历史建筑和洋房。

旁边的 Hü℉ phoenix寺 是杭州市区内的伊斯兰教礼拜中心，因此周围有许多清真牛羊肉餐饮店。寺庙虽然不大，但10分钟内就可以逛完，而且是免费参观的。

羊坝头附近的欧式建筑非常吸引人，这里是网红电商服装人的常用地点，运气好的话可以偶遇杭州的网红。

如果不想规划路线，可以直接从中山中路1号走到尽头，这样既轻松又能体验整条街道的魅力。

**特色餐厅：**
- 羊坝头马大西北牛肉火锅
- 喀摩尔土耳其风味餐厅
- 番禺申记·现切猪杂粥
- 岐照·日式挽肉大米
- 奎元馆

**咖啡甜品店：**
- pandas bamboo熊竹咖啡
- 梦记咖啡
- 三浪咖啡
- bitofree甜菜
- 晓春和
- 福兹FUTSU
- QUEL QUER sip coffee&taproom

**酒吧：**
- 养鱼young boss bar
- 日出sunrise lounge
- 红lounge bar
- 隔壁酒馆
- outsider局外人精酿

#杭州citywalk
#杭州周末去哪儿
#旅游
#杭州拍照
#杭州咖啡店
#杭州面包店
#逛街"
"如果你只有一天时间，那么杭州这条最具烟火气的一日游路线，一定不要错过。

1. 胡雪岩故居
2. 十五奎巷
3. 大马弄
4. 南宋御街
5. 河坊街
6. 五柳巷
7. 德寿宫
8. 乘坐杭州水上巴士

这条路线涵盖了杭州的历史文化街区和传统市井生活，非常适合感受这座城市的独特魅力。此外，这些地点也适合拍照留念。"
"趁着亚运会之前，赶紧去杭州之门打个卡吧。作为杭州的城市地标，这是一座以“杭”首字母H作为形状的双塔，俗称“大裤衩”。晚上亮了灯之后非常有科技感，朋克味十足。亮灯时间是19：30-22：00。从地铁6号线博览中心D口出来。

拍照机位1：出了地铁站D口，走300米左转有个坡道，沿着坡道上去就到了（坡道上有很多骑行的朋友，需要注意安全）。上去后视角很宽阔，还可以看到莲花碗。

拍照机位2：想要离得更近点，也可以进博览中心展馆里面拍，不过要在8点前上去（有保安看守）。

拍照机位3：从A口出，走十来分钟到正门口（位于奔竞大道）。

夜拍容易有噪点，建议带个闪光灯；如果拍人像的话，最好穿浅色衣服，避免和背景重叠。

打完卡了还可以去附近的【城市阳台】散步吹江风，看看对面钱江新城的灯光秀。"
杭州探店 #杭州咖啡 #COTD咖啡探店 #复古车 #保时捷 #情怀老车 #保时捷911 #杭州小众拍照 #citywalk #杭州必打卡
"还有谁不知道杭州这条Citywalk路线：孩儿巷—中山北路—屏风街，顺路又好逛。

- 🚇地铁1/2号线凤起路站A出口出站就是孩儿巷
- ☕️ Pasto COFI COFI
- 🧸橡皮文具店
- 🍞慢熟面包店 bud bread
- ☕️ 咖啡脑袋
- 🥯 Tira misu 提拉米苏
- 🥯 Tiohoh 贝果三明治店
- ☕️ Parking coffee
- ☕️ Manner Coffee

孩儿巷走到底就是中山北路，先右转：
- 🥯 皮师👨‍🍳 马卡龙
- 再左转：
- 🥯 红跑车蛋糕世界
- ☕️ 无由·Tea zone
- 🍨 阿嬷的糖水铺
- ☕️ 村口大树
- 🍜 小狗面馆
- 🥯 AZAHAR 安莎烘焙
- 🧸 Really Cool 古着店
- ☕️ 吉市 cafe
- 🍨 冰喜福雪冰·鲜奶·甜品
- 🍔 Black Burger 黑汉堡
- 🥯 Cycle Cycle

逛完Cycle后，中山北路右边过马路就是屏风街：
- 🥯 fa酵食堂
- 🥯 CHOCMONS 巧克力怪兽

逛完还可以骑自行车去银泰in77，沿途会经过得意胶片馆。"
"以下是一条避开人流的小众路线，花一天时间，既能乘坐最美水上巴士，又能逛吃老杭州感受市井气息。

### CityWalk一日游路线

**坝子桥 ➟ 梅花碑 ➟ 五柳巷 ➟ 德寿宫 ➟ 十五奎巷 ➟ 大马弄 ➟ 鼓楼 ➟ 南宋御街 ➟ 河坊街**

### 关于住宿

可以选择这三个地方：
- ①湖滨步行街
- ②河坊街
- ③黄龙广场

PS：无论是交通还是吃饭都很方便，距离西湖、河坊街非常近。

### 第1站：水上巴士7号线

地铁5号线「宝善桥A2口」或者公交「莫衙营站」下车，步行200米抵达「坝子桥水上巴士站」。

**船票：3元/人，上船刷卡**
- 小船：8人一船
- 大船：下午16:00那班能坐24人

### 第2站：五柳巷

从梅花碑下船步行5分钟到五柳巷，沿河而建，一侧是绿荫小路，一侧是老城生活区，充满老杭州的市井气息。

**美食推荐：**
- 游埠豆浆：咸豆浆、油条、烧饼
- 金华酥饼：梅干菜烧饼
- 赵宝美点心店：小馄饨、葱煎包

### 第3站：德寿宫

整个场馆分地上和地下两部分，相比修缮一新的地上宫殿，我更喜欢地下的慈福宫遗址和重华殿。

**门票：免费**
- **开放时间：09:30—17:00**
- **公益讲解：上午10:30，下午14:30（游客中心集合）**

### 第4站：十五奎巷

解锁拍照机位：巴尔干客栈（十五奎巷的晓霞弄）。这里能拍到小巷子与望仙阁同框的照片。

### 第5站：大马弄

步行5分钟到大马弄，寻找藏在菜市场里的杭州味道。

**美食推荐：**
- 蒋师傅酥鱼
- 周萍粽子
- 菊英面店
- 侯大姐葱包烩
- 小王油墩儿
- 素烧鹅

### 第6站：鼓楼

临近傍晚，从大马弄步行10分钟抵达鼓楼。比起白天的模样，夜幕下的鼓楼更有感觉。古色古香的建筑配上红色灯笼和盘旋着的金色祥龙，福气满分！

### 第7站：南宋御街

穿过鼓楼，进入清河坊。比起热闹的街巷，我更喜欢呆在「猫空」这样的地方。

### 第8站：河坊街

与南宋御街交叉的东西向老街「清河坊」，是杭州唯一保存完整的旧街区。逛完清河坊，可以到旁边的高银街，有很多杭帮菜的餐馆。

---

以上就是这条避开了人流的小众路线，希望你喜欢！"
"你好，我是安安，一个梦想带你看看世界的摄影师！

来杭州不要只知道西湖了，这条小众的city walk路线人少景美，更值得一逛。一路小巷烟火，绿野仙踪，非常舒适惬意。

接下来把这条路线分享给大家：
足迹：十五奎巷-晓霞弄-伍公庙-城隍阁-江湖汇观亭—积义亭—古望江门附近

1. 晓霞弄【图1、2、5】：站在小巷中可以和望仙阁同框，人文烟火气和动画版场景在这里结合，背后的步道也是绿色葱葱，在阳光的照射下树影婆娑，非常舒适。
   
2. 积义亭【图3、4】：一片绿浪海洋包裹着远处的城隍阁，营造出现实版的绿野仙踪。
   
3. 江湖汇观亭【图5】：在亭中休憩片刻，可以从高处看到西湖和城隍阁，用亭子阁栏拍一张框架式构图，包裹住城隍阁。
   
4. 伍公庙【图7、8、9】：因伍子胥而得名的一个清幽小庙，在绿树成荫下，蒙上了神秘的色彩。
   
5. 古望江门【图13】：晚上七点城隍阁亮灯，来到这附近，使用飞机航拍器就能拍到城隍阁和望仙阁亮灯的同框。

🌟 最近天气炎热，蚊虫较多，请大家出行时做好保护措施。

☺️ 我是奈何，一直在看世界的路上。让我做你的眼睛，看看那些没有时间去看的风景。我们下一站再见啦。

#杭州拍照 #杭州 #杭州小众拍照 #杭州Citywalk #杭州旅游攻略 #旅行随地大小拍 #高智感华系神车"
"来杭州，除了去西湖，我还建议你来京杭大运河。这里没有河坊街那么嘈杂，很安逸。这里有很多特色的历史街区，白墙黛瓦，青石板路，小巷深深，可以满足你对老杭州历史文化的所有幻想。

但是大运河这么长，怎么玩才能玩到精华呢？本地人都说好的一日游攻略来了：

### 一日游路线：
- **3元的运河水上巴士+运河Citywalk**

#### 怎么去：
- 地铁1号线闸弄口地铁站D口出，步行几分钟到达濮家站。
- 坐3元水上巴士1号线，从濮家码头到拱宸桥。

### Citywalk路线：
1. 中国大运河博物馆（运河广场）
2. 拱宸桥
3. 桥西历史街区
4. 中国伞博物馆、刀剪剑博物馆
5. 小河直街
6. 小河公园
7. 大兜路历史街区
8. 香积寺
9. 富义仓
10. 胜利河美食街

#### 关于景点：
- **杭州京杭大运河水上巴士1号线**：
  - 时间：7:00-17:55
  - 票价：3元（上船买票）

- **杭州京杭大运河博物馆**：
  - 免费
  - 时间：9:00-16:00（周一闭馆）
  
- **拱宸桥**：
  - 这里是京杭大运河的起点，承载了杭州的历史。

- **桥西历史街区**：
  - 这里保留了原汁原味的清末民初建筑，有很多特色小店。
  - 博物馆周一周二闭馆。

- **小河直街**：
  - 这里青石板路，小巷深深，有很多有特色的小店，也有很多猫咖，适合撸猫看景。

- **小河公园**：
  - 这里原来是小河油库，后来被改造成一个工业风公园，很适合带娃玩。

- **大兜路历史街区**：
  - 沿街有很多文艺小店和咖啡馆，很适合感受慢时光。

- **香积寺**：
  - 国内唯一供奉有食神的寺庙，素斋一绝。

- **富义仓**：
  - 杭州现存唯一的粮仓，很适合发呆看景。

- **胜利河美食街**：
  - 17:00-次日2:00，夜宵好去处，有烧烤、火锅、大排档等。
  - 推荐：脆皮年糕、烤猪蹄、烤扇贝、火锅、海鲜。

#### 注意事项：
- 如果要去博物馆，可早点出发，这样一天可逛运河边4个博物馆，还不累。
- 整条运河Citywalk路线共5小时左右，都免费，一路都有美食和文艺小店，很适合度过悠闲慢时光。
- 水上巴士上船买票，票价3元，不要弄错。

我是多宝妈妈，关注我，带你玩杭州。"
"带着孩子游览杭州时，除了感受西湖的美景，还可以体验南宋的历史遗迹，并乘坐仅需3元钱的最美水上巴士。

📍路线：
地铁吴山广场站D口出 → 河坊街 → 南宋御街 → 城隍阁 → 十五奎巷 → 鼓楼 → 望仙阁 → 胡雪岩故居 → 德寿宫 → 五柳巷 → 水上巴士7号线

⚠️需要购买门票的景点：
💰城隍阁：30元/人，现场购买即可。
💰胡雪岩故居：20元/人，现场购买即可。
🆓德寿宫：免费，需要提前在公众号预约。
💰水上巴士7号线：3元/人，现场上船付款即可。

‼️Tips：
全程大约需要4-5小时，步行距离适中。如果不想走路，可以直接打车到城隍阁山顶。

#笔记灵感 #不懂就问有问必答 #不可错过的美景 #人文景点分享 #旅途中的美景 #国内旅游日常 #来我家乡玩一天 #遛娃好去处 #杭州遛娃好去处 #杭州遛娃去哪儿 #杭州遛娃去哪里 #杭州遛娃胜地 #citywalk #city_walk #618 #618攻略 #618大促 #杭州旅游 #杭州旅行 #杭州旅行攻略 #杭州旅游指南 #杭州旅行地点 #杭州旅游景点 #周末去哪儿"
"杭州冬天热门徒步路线 抢先看！点位都给大家详细标注了。这个冬天赶快带着喜欢的人一起去户外放空吧。

#杭州 #杭州西山森林公园 #杭州徒步 #西湖徒步 #杭州citywalk #旅行vlog #江浙沪周边游"
"第一次来杭州，除了西湖，推荐这条小众Citywalk——一条运河线，“半部杭州史”。这里不仅有小桥流水、文艺小店，还能感受到老杭州的烟火气。最近还有凌霄花绽放。

推荐路线：
1. 香积寺：北宋古庙，隐于闹市。寺庙建筑呈现唐宋风格，比较清净，适合祈福许愿。
   - 开放时间：8:00-17:00
   - 门票：20元（寺庙卡免费）

2. 大兜路历史街区：从香积寺出门右转即可到达，边上就是大运河。绿树成荫，还有市集。逛累了可以看看运河风光，喝喝咖啡。

3. 桥西历史文化街区：经过大名鼎鼎的拱宸桥，就来到桥西历史街区。街道两旁是各种工艺小店，古街小巷充满烟火气，最近凌霄花也开了。
   - 历史展馆：大运河博物馆、中国伞博物馆、中国扇博物馆、刀剑剪博物馆

4. 小河公园：工业风艺术公园，废旧油罐改造的建筑群，非常有特色。溜自己遛娃都很合适。

5. 小河直街：文艺宝藏老街，有三条小街可以溜达。小店布置得很有趣，拍照打卡都非常好看。晚上的小河直街也别有一番风采。

#杭州旅游 #旅行攻略 #周末去哪儿 #杭州 #江浙沪周边游 #citywalk #杭州拍照"
"作为一个在杭州的旅游博主，基本上已经把这座城市各个角落都打卡了一遍。如果你也想来杭州游玩，那么以下这份游玩攻略请收好！

✨Day 1：西湖经典一日游
路线：龙翔桥B口 -> 湖滨一公园码头 -> 三潭印月 -> 花港观鱼 -> 太子湾公园 -> 净慈寺 -> 雷峰塔 -> 观光车过苏堤 -> 西冷桥 -> 孤山路 -> 白堤 -> 断桥残雪 -> 武林夜市 -> 凤起路

👍Tips：
- 苏堤一定要坐观光车，不然会走断腿。
- 西泠桥是日落观赏点，非常美。

✨Day 2：灵隐寺法喜寺攻略
途径地铁站：黄龙体育中心/龙翔桥，这两个地铁站都有灵隐专线公交

👍Tips：
- 灵隐寺在飞来峰景区内，两个门票共75元，需要一起购买。
- 灵隐寺出口有接驳车，10元到达法喜寺门口，很方便。
- 法喜寺有公交站，不建议打车因为很堵，坐1314路公交可回到西湖。

✨大运河City Walk路线
香积寺 -> (步行800米) -> 大兜路 -> (步行800米) -> 小河直街 -> 小河公园 -> (步行900米) -> 桥西历史文化街区 -> (步行400米) -> 拱宸桥

👍Tips：
- 香积寺门票20元，寺庙闹中取静，很独特。
- 大兜路人流量更少，古朴文艺，有很多摆摊的市集值得一逛。
- 小河直街有很多簪花店铺、网红咖啡馆和茶馆。
- 桥西历史文化街区有很多博物馆，如中国扇博物馆、伞博物馆、刀剪剑博物馆。

✨住宿攻略
对于预算充足的游客，可以选择住宿【杭州洲际酒店】。江景房的落地玻璃窗，望出去是浩渺的钱塘江，视野开阔。夜间霓虹亮起又是另一番景色。房间设施齐全，酒店紧邻地铁市民中心站，步行可至周边大型购物中心及观赏钱塘江的城市阳台，非常方便。

✨来杭州旅游的朋友们，建议提前在美团上预订酒店。热门旅行地经常有福利，上面也经常有折扣，非常划算！美团上搜索【江浙沪111】就可以看到啦！

#杭州旅游攻略# #西湖攻略# #元旦旅行# #江浙沪旅行# #杭州洲际酒店#"
"以下是去掉多余表情符号和语气内容后的版本：

狮虎桥路
1. 小烦大人 10:30-22:30，这家店基本都是男装，还有戒指项链这些。有很多不同材质的男装衣服，长见识了...
2. ginza vintage（超级推荐，个人很喜欢），不详。在这家店和朋友各买了一个古着戒指。放的歌曲都是K-pop，仙品仙品！一楼都是些项链手链，很多很多饰品；二楼是些古着衣服，区域小但衣服帽子很多，麻雀虽小，五脏俱全。
3. Lin BrandNew Vintage古着屋（推荐，个人很喜欢） 12:30-21:30。这家的包包好看极了，仙品仙品。小发夹小饰品也很精致。
4. 桃几PeachPark（推荐推荐） 12:00-20:00。这家可以拍立得，小姐姐人很好很温柔，会指导一些动作，拍照技术也好，喜欢拍出来的照片。这里有很多玩偶小挂件可以逛逛，还有鞋子衣服。还有一个拍照的Hello Kitty机器，应该是拍大头照的吧？当时没怎么关注。
5. 风雨书店。里面有很多书，还有小狗PP夹（好喜欢）。最里面有唱片机在播放音乐，太有情调了。
6. BIGWA VINTAGE。这家店面的装修很酷，里面的东西也很多，衣服、裤子、饰品等一应俱全，琳琅满目。

#杭州Citywalk# #杭州# #杭州探店# #杭州拍照# #杭州古着探店# #杭州古着一条街# #杭州周末去哪儿# #杭州旅游# #杭州购物攻略# #杭州逛街购物指南# 2024.2.16"
"来杭州，传统景点逛完之后，就可以开启City Walk的一天啦。这次推荐的行程大概需要2～4小时，留出一下午的时间，来杭州街区逛一逛吧！还有可以拍立得的店，超级好出片！（超全干货，记得收藏！）

这家应该是杭州拥有最多主题的拍立得店啦！有海绵宝宝、库洛米、玩具总动员、Hello Kitty、Pingu墙等。老板娘拍照技术也很好，目前正在布置新主题中！

📍路线：狮虎桥路——武林路——孩儿巷

🌈狮虎桥路：古着店超多
- 风雨书店：10:00-21:00
- 小烦大人：10:30-22:30
- Bubble Vintage：13:00-22:00
- Lin BrandNew Vintage：12:30-23:00
- 大娃古着杂货：12:00-22:00
- 半间古着小铺：10:00-23:00
- 怪牙商店：13:00-22:00
- Rich Vintage Store古着商店：12:00-22:00

🌈武林路：美食超多
注意：这里有一个打卡扭蛋机，但现在已经没有扭蛋了。
来武林路还可以顺便逛逛武林夜市。
推荐：
- 杭州葱包烩（谢霆锋同款）：15元
- 茉莉冰豆浆（常温的）：15元
- 龙井冰淇淋（第二份半价）：15元
- 叶玫贵螺蛳粉（没有科技与狠活）：19元
- 嵊州小笼包（一份六个）：10元

🌈孩儿巷：咖啡店超多
- Pasto COFI COFI Coffee ideas拉菲脑袋
- 慢熟面包店bud bread
- 猫森商店
- 橡皮文具店（很多可爱小文具）
- 妙妙磨古屋（衣服，发饰）
- BFF weekend（小蛋糕，马卡龙）
- 波奈古着屋

有很多可以出片的地方，可以根据需要选择哦！（最重要的！穿一双合适的鞋子，别累到啦！）

#杭州 #杭州CityWalk #杭州CityWalk路线 #杭州旅游 #杭州美食 #杭州探店 #杭州拍照 #杭州宝藏服装店 #杭州网红打卡地"
"每个来杭州旅游的人应该都会去一趟西湖，但是可能会忽略西湖边这些人少景美的景点。我推荐你花一天时间，避开人流，来一场city walk，非常舒服惬意。

